0,38	0,20	0,89	0,42	0,65	0,35	0,48	0,33	0,19	0,11
0,95	0,88	0,44	0,59	0,62	0,26	0,75	0,47	0,81	0,58
0,96	0,65	0,12	0,38	0,52	0,68	0,50	0,83	0,84	0,06
0,07	0,35	0,38	0,75	0,31	0,73	0,33	0,79	0,99	0,83
0,82	0,49	0,96	0,80	0,25	0,07	0,35	0,38	0,98	0,05
0,48	0,37	0,50	0,18	0,90	0,00	0,42	0,38	0,02	0,20
0,93	0,71	0,04	0,32	0,57	0,56	0,52	0,13	0,37	0,55
0,67	0,85	0,52	0,77	0,31	0,02	0,03	0,53	0,10	0,59
0,49	0,16	0,90	0,56	0,18	0,74	0,75	0,95	0,42	0,70
0,43	0,17	0,19	0,76	0,72	0,10	0,49	0,87	0,28	0,74
0,14	0,61	0,51	0,70	0,73	0,76	0,12	0,94	0,51	0,13
0,84	0,15	0,53	0,35	0,75	0,16	0,74	0,80	0,13	0,77
0,38	0,28	0,29	0,71	0,37	0,41	0,02	0,00	0,47	0,78
0,21	0,61	0,10	0,97	0,29	0,77	0,82	0,20	0,31	0,35
0,13	0,63	0,86	0,54	0,65	0,06	0,82	0,54	0,01	0,22
0,48	0,04	0,19	0,01	0,02	0,31	0,20	0,21	0,50	0,47
0,98	0,75	0,39	0,60	0,07	0,15	0,64	0,01	0,11	0,17
1,00	0,12	0,90	0,05	0,45	0,53	0,52	0,90	0,98	0,48
0,68	0,75	0,30	0,65	0,31	0,80	0,36	0,39	0,88	0,56
0,20	0,81	0,14	0,37	0,91	0,25	0,79	0,62	0,29	0,61
0,70	0,86	0,09	0,70	0,47	0,06	0,47	0,96	0,59	0,30
0,19	0,40	0,76	0,84	0,14	0,19	0,50	0,48	0,96	0,09
0,94	0,10	0,23	0,30	0,69	0,30	0,30	0,35	0,43	0,15
0,97	0,02	0,04	0,94	0,34	0,77	0,24	0,31	0,22	0,59
0,14	0,16	0,02	0,87	0,32	0,29	0,08	0,23	0,95	0,37
0,94	1,00	0,23	0,96	0,44	0,06	0,35	0,78	0,06	0,98
0,75	0,83	0,17	0,16	0,46	0,31	0,76	0,78	0,94	0,80
0,42	0,50	0,38	0,42	0,65	0,52	0,09	0,04	0,82	0,35
0,97	0,21	0,14	0,83	0,29	0,30	0,80	0,99	0,71	0,28
0,57	0,65	0,98	0,19	0,77	0,17	0,46	0,17	0,89	0,06
0,87	0,04	0,15	0,49	0,64	0,05	0,12	0,25	0,50	0,89
0,96	0,72	0,90	0,63	0,65	0,56	0,57	0,27	0,85	0,51
0,97	0,75	0,28	0,16	0,77	0,94	0,56	0,43	0,61	0,64
0,75	0,15	0,91	0,75	0,37	0,19	0,38	0,72	0,64	0,59
0,61	0,48	0,30	0,89	0,88	0,43	0,68	0,63	0,76	0,61
0,89	0,07	0,38	0,19	0,01	0,39	0,81	0,71	0,22	0,79
0,73	0,54	0,47	0,65	0,74	0,67	0,01	0,23	0,82	0,14
0,60	0,54	0,83	0,22	0,87	0,76	0,26	0,28	0,88	0,35
0,52	0,41	0,24	0,26	0,64	0,29	0,54	0,85	0,61	0,37
0,07	0,62	0,85	0,26	0,54	0,77	0,83	0,34	0,56	0,50
